Grouping,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
v Afghanistan,2,1,0,67,67,67,63,106.34,0,1,0,5,0
v Australia,40,38,3,1910,123,54.57,1976,96.65,8,8,2,171,20
v Bangladesh,12,12,3,680,136,75.55,685,99.27,3,3,0,67,5
v England,30,30,4,1178,122,45.3,1315,89.58,3,7,3,111,11
v Ireland,2,2,1,78,44,78,95,82.1,0,0,0,7,1
v Netherlands,1,1,0,12,12,12,20,60,0,0,0,2,0
v New Zealand,26,26,3,1378,154,59.91,1456,94.64,5,8,1,123,19
v Pakistan,13,13,2,536,183,48.72,557,96.22,2,2,1,50,4
v South Africa,27,25,5,1287,160,64.35,1481,86.9,4,6,1,103,17
v Sri Lanka,47,46,9,2220,139,60,2450,90.61,8,11,2,213,17
v U.A.E.,1,1,1,33,33,,41,80.48,0,0,0,5,0
v West Indies,39,38,7,2235,157,72.09,2296,97.34,9,11,2,234,25
v Zimbabwe,8,6,1,253,115,50.6,291,86.94,1,1,1,25,2
in Australia,26,26,3,1154,133,50.17,1304,88.49,5,4,0,94,9
in Bangladesh,16,15,3,970,183,80.83,968,100.2,5,3,0,94,7
in England,31,31,7,1316,107,54.83,1432,91.89,1,12,2,116,10
in India,95,92,12,4865,157,60.81,5021,96.89,19,23,7,467,56
in New Zealand,13,13,1,596,123,49.66,652,91.41,1,4,0,55,10
in South Africa,17,15,5,877,160,87.7,972,90.22,3,4,1,84,11
in Sri Lanka,23,23,4,899,131,47.31,1046,85.94,4,2,1,95,5
in West Indies,18,17,3,825,120,58.92,901,91.56,4,3,1,81,11
in Zimbabwe,9,7,1,365,115,60.83,430,84.88,1,3,1,30,2
in Africa,26,22,6,1242,160,77.62,1402,88.58,4,7,2,114,13
in Americas,18,17,3,825,120,58.92,901,91.56,4,3,1,81,11
in Asia,134,130,19,6734,183,60.66,7035,95.72,28,28,8,656,68
in Europe,31,31,7,1316,107,54.83,1432,91.89,1,12,2,116,10
in Oceania,39,39,4,1750,133,50,1956,89.46,6,8,0,149,19
home,95,92,12,4865,157,60.81,5021,96.89,19,23,7,467,56
away,104,100,16,4884,160,58.14,5363,91.06,20,21,5,455,50
neutral,49,47,11,2118,183,58.83,2342,90.43,4,14,1,194,15
year 2008,5,5,0,159,54,31.8,239,66.52,0,1,0,21,1
year 2009,10,8,2,325,107,54.16,385,84.41,1,2,0,36,3
year 2010,25,24,3,995,118,47.38,1169,85.11,3,7,3,90,4
year 2011,34,34,5,1381,117,47.62,1614,85.56,4,8,2,127,7
year 2012,17,17,2,1026,183,68.4,1094,93.78,5,3,1,92,5
year 2013,34,30,6,1268,115,52.83,1300,97.53,4,7,3,137,20
year 2014,21,20,2,1054,139,58.55,1058,99.62,4,5,1,94,20
year 2015,20,20,3,623,138,36.64,773,80.59,2,1,0,44,8
year 2016,10,10,2,739,154,92.37,739,100,3,4,0,62,8
year 2017,26,26,7,1460,131,76.84,1473,99.11,6,7,2,136,22
year 2018,14,14,5,1202,160,133.55,1172,102.55,6,3,0,123,13
year 2019,26,25,2,1377,123,59.86,1429,96.36,5,7,1,133,8
year 2020,6,6,0,258,89,43,281,91.81,0,3,0,21,2
season 2008,5,5,0,159,54,31.8,239,66.52,0,1,0,21,1
season 2009,1,1,1,2,2,,2,100,0,0,0,0,0
season 2009/10,17,14,3,686,107,62.36,785,87.38,2,5,0,69,4
season 2010,11,11,0,280,82,25.45,389,71.97,0,2,2,22,0
season 2010/11,20,20,3,827,118,48.64,964,85.78,3,5,1,74,8
season 2011,10,10,0,393,107,39.3,478,82.21,1,3,1,31,2
season 2011/12,21,21,4,1243,183,73.11,1302,95.46,5,5,1,124,4
season 2012,5,5,1,296,128,74,337,87.83,2,0,0,25,1
season 2012/13,8,8,1,168,77,24,220,76.36,0,1,2,16,3
season 2013,15,13,3,521,115,52.1,564,92.37,2,2,0,54,7
season 2013/14,21,18,2,1059,136,66.18,989,107.07,4,6,2,113,20
season 2014,4,4,1,54,40,18,77,70.12,0,0,1,4,1
season 2014/15,20,20,4,849,139,53.06,939,90.41,3,3,0,73,10
season 2015,3,3,0,49,25,16.33,66,74.24,0,0,0,4,1
season 2015/16,10,10,0,626,138,62.6,665,94.13,3,3,0,43,10
season 2016/17,8,8,2,543,154,90.5,528,102.84,2,3,0,48,9
season 2017,15,15,7,832,131,104,818,101.71,3,5,1,82,13
season 2017/18,14,14,3,1001,160,91,1043,95.97,5,2,1,90,10
season 2018,3,3,0,191,75,63.66,210,90.95,0,2,0,17,0
season 2018/19,16,16,2,1064,157,76,1049,101.42,6,1,0,109,12
season 2019,12,11,2,677,120,75.22,695,97.41,2,5,0,66,3
season 2019/20,9,9,0,347,89,38.55,367,94.55,0,4,1,31,2
is captain,89,85,16,5147,160,74.59,5209,98.8,21,23,3,496,58
is not captain,159,154,23,6720,183,51.29,7517,89.39,22,35,10,620,63
is not keeper,248,239,39,11867,183,59.33,12726,93.25,43,58,13,1116,121
won the toss,119,112,20,5834,157,63.41,6128,95.2,21,31,5,578,61
lost the toss,129,127,19,6033,183,55.86,6598,91.43,22,27,8,538,60
won toss & batted,50,49,3,2292,157,49.82,2546,90.02,7,14,2,194,21
won toss & fielded,69,63,17,3542,154,77,3582,98.88,14,17,3,384,40
lost toss & sent in,56,56,5,2536,160,49.72,2720,93.23,10,12,7,213,25
lost toss & fielded,73,71,14,3497,183,61.35,3878,90.17,12,15,1,325,35
matches batting first,106,105,8,4828,160,49.77,5266,91.68,17,26,9,407,46
matches fielding first,142,134,31,7039,183,68.33,7460,94.35,26,32,4,709,75
1st match innings,106,105,8,4828,160,49.77,5266,91.68,17,26,9,407,46
2nd match innings,138,134,31,7039,183,68.33,7460,94.35,26,32,4,709,75
day match,74,70,13,2923,120,51.28,3271,89.36,6,21,8,274,26
day/night match,174,169,26,8944,183,62.54,9455,94.59,37,37,5,842,95
won match,150,146,35,8589,183,77.37,8912,96.37,35,36,8,832,88
lost match,85,85,1,2986,123,35.54,3470,86.05,7,21,5,262,29
tied match,5,5,1,202,157,50.5,215,93.95,1,0,0,17,4
no result,8,3,2,90,55,90,129,69.76,0,1,0,5,0
won batting first,61,60,5,3201,160,58.2,3401,94.11,13,14,5,270,30
won fielding first,89,86,30,5388,183,96.21,5511,97.76,22,22,3,562,58
lost batting first,39,39,0,1356,121,34.76,1566,86.59,3,11,4,117,12
lost fielding first,46,46,1,1630,123,36.22,1904,85.6,4,10,1,145,17
tied batting first,3,3,1,181,157,90.5,170,106.47,1,0,0,15,4
tied fielding first,2,2,0,21,15,10.5,45,46.66,0,0,0,2,0
no result batting first,3,3,2,90,55,90,129,69.76,0,1,0,5,0
2 team series,168,161,24,8660,160,63.21,9135,94.8,35,40,10,818,98
3-4 team tournaments,37,37,5,1459,183,45.59,1646,88.63,5,7,2,134,7
5+ team tournaments,43,41,10,1748,136,56.38,1945,89.87,3,11,1,164,16
1st match in series,39,38,3,1952,140,55.77,2093,93.26,8,9,2,181,20
2nd match in series,40,39,4,2107,157,60.2,2199,95.81,8,10,3,190,28
3rd match in series,37,36,6,2058,160,68.6,2256,91.22,7,12,1,199,18
4th match in series,26,24,5,1297,138,68.26,1330,97.51,6,5,1,125,17
5th match in series,23,21,4,1002,139,58.94,1092,91.75,4,4,2,86,12
6th match in series,2,2,2,244,129,,162,150.61,2,0,0,37,3
7th match in series,1,1,0,0,0,0,3,0,0,0,1,0,0
World Cup,26,26,4,1030,107,46.81,1188,86.7,2,6,0,91,5
Asia Cup,11,10,0,613,183,61.3,631,97.14,3,1,0,60,4
ICC Champions Trophy,13,12,6,529,96,88.16,573,92.32,0,5,1,53,8
tournament finals,8,8,1,154,43,22,198,77.77,0,0,0,17,1
tournament semi-finals,5,5,2,165,96,55,182,90.65,0,2,0,17,1
tournament quarter-finals,2,2,0,27,24,13.5,41,65.85,0,0,0,1,0
preliminary matches,65,63,12,2861,183,56.09,3170,90.25,8,16,3,263,21
1st position,3,3,0,110,54,36.66,150,73.33,0,1,0,14,1
2nd position,3,3,0,51,37,17,99,51.51,0,0,0,7,0
3rd position,185,185,30,9751,183,62.9,10335,94.34,36,48,13,916,105
4th position,39,39,7,1767,139,55.21,1949,90.66,7,8,0,162,15
5th position,4,4,0,127,80,31.75,153,83,0,1,0,9,0
6th position,1,1,1,23,23,,11,209.09,0,0,0,3,0
7th position,4,4,1,38,27,12.66,29,131.03,0,0,0,5,0
